learning epoch:  1 ...
preds:  ['Expansion.Instantiation.', 'Temporal.Asynchronous', 'Contingency.Condition', 'Temporal.Asynchronous', 'Repetition', 'Temporal. Asynchronous', 'Comparison.Contrast', 'Contusionance.Construction.Construction.Construction.Construction.Construction.', 'Contingency.', 'Contingency.', 'Repetition', 'Repetition is a repetition for a remittance.', 'Comparison.', 'Comparison.', 'Contingency.', 'Comparison.Contribution']  | target:  ['Expansion.Instantiation', 'Temporal.Asynchronous', 'Contingency.Condition', 'Temporal.Asynchronous', 'Repetition', 'Temporal.Asynchronous', 'Comparison.Contrast', 'Contingency.Condition', 'Contingency.Cause', 'Contingency.Condition', 'Repetition', 'Repetition', 'Comparison.Concession', 'Comparison.Concession', 'Contingency.Condition', 'Comparison.Concession']
preds:  ['............', 'Contingency.Cause', 'Comparison.Consumption', 'Temporal.Synch rony.', 'Expansion.Conjunction.', 'Contingencies. Contingency. Contingency. Contingency. Contingency. Contingency.', 'Temporal.Asynchronous', 'Expansion.Restatement', 'Contingency.', 'Comparison. Comparison.', 'Expansion.Conjunction', 'Containability.Cause.', 'Temporal. Asynchronous.', 'Contingency.Cause', 'Expansion. Restatement', 'Comparison.Concession.Concession.']  | target:  ['Contingency.Cause', 'Contingency.Cause', 'Comparison.Concession', 'Temporal.Synchrony', 'Expansion.Conjunction', 'Contingency.Condition', 'Temporal.Asynchronous', 'Expansion.Restatement', 'Contingency.Cause', 'Comparison.Contrast', 'Expansion.Conjunction', 'Contingency.Cause', 'Temporal.Asynchronous', 'Contingency.Cause', 'Expansion.Restatement', 'Comparison.Concession']
preds:  ['Reflecting on the sexes in the midst of a swath of sand', 'Expansion.Restatement', 'if you are a fanatic, you are a fanatic. If you are a fanatic,', 'Contingency.Cause', 'Expansion.', 'Temporal.Asynchronous', 'wedding invitations. wedding invitations. wedding invitations. wedding invitations. wedding invitations. wedding invitations.', 'Expansion.Restatement', 'Contingency. Contingency.', 'Interrupted', 'Concessions.Concessions.Concession.Concession.Concession.Concession.Concession.Con', 'Comparison.', 'Reluctance for a re-apologise is a resemblance to', 'Expansion.Restatement', 'Comparison.', 'Expansion.Alternative']  | target:  ['Repetition', 'Expansion.Restatement', 'Contingency.Cause', 'Contingency.Cause', 'Expansion.Restatement', 'Temporal.Asynchronous', 'Contingency.Condition', 'Expansion.Restatement', 'Contingency.Condition', 'Interrupted', 'Comparison.Concession', 'Comparison.Concession', 'Repetition', 'Expansion.Restatement', 'Comparison.Concession', 'Expansion.Alternative']
preds:  ['Interrupted', 'Expansion.Restatement', 'Contingency.', 'Expansion.Conjunction', 'Contingency.Cause', 'Contingency.', 'Comparison.cession.Congress.Contribution.Contribution.Contribution.Contribution.Con', 'Comparison. Concession', 'Expansion.Restatement', 'if you have a problem with a problem with a problem with a problem with a problem with', 'Expansion.Conjunction.', 'Contency.Cause', 'Expansion.Alternative', 'Temporal.Asynchronous', 'Contingency.Cause.Cause.Cause.Cause.Cause.', 'Contingency.Goal']  | target:  ['Interrupted', 'Expansion.Restatement', 'Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Goal', 'Comparison.Concession', 'Comparison.Concession', 'Expansion.Restatement', 'Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Cause', 'Expansion.Alternative', 'Temporal.Asynchronous', 'Contingency.Cause', 'Contingency.Goal']
preds:  ['Temporal.Asynchronous', 'Comparison.', 'Temporal.Assynchronous.', 'Contingency.Goal', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Repetition is a reaffirmation of our commitment to the United States and Canada. Repetition', 'Comparison.', 'Expansion.Restatement', 'Comparison. Comparison.', 'Contingency.Goal', 'Expansion.Conjunction', 'Contingency.Condition', 'Comparison.com Comparison.com: Comparison.com: Comparison.com: Comparison.com: Comparison.com: Comparison', 'Comparison.Concession', 'Expansion.Conjunction.Conjunction.']  | target:  ['Temporal.Asynchronous', 'Comparison.Concession', 'Temporal.Asynchronous', 'Contingency.Goal', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Repetition', 'Comparison.Contrast', 'Expansion.Restatement', 'Comparison.Contrast', 'Contingency.Goal', 'Expansion.Conjunction', 'Contingency.Condition', 'Comparison.Concession', 'Comparison.Concession', 'Expansion.Conjunction']
preds:  ['Expansion.Resalement', 'Contingency.Cause', 'Temporal. Asynchronous', '............', 'Contingency.Cause', 'Temporal.Asynchronous', 'asynchronous.asynchronous', 'Expansion.Conjunction.', 'Expansion.', 'Instruction.Condition.', 'Comparison.', 'Confusion. Confusion. Confusion. Confusion. Confusion. Confusion. Confusion. Confusion.', 'Contingency.Cause.', 'Contingency.', 'Constitution.Concencimentation.Concencii.Concenciation', '           ']  | target:  ['Expansion.Restatement', 'Contingency.Cause', 'Temporal.Asynchronous', 'Contingency.Cause', 'Contingency.Cause', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Contingency.Condition', 'Comparison.Concession', 'Comparison.Concession', 'Contingency.Cause', 'Contingency.Condition', 'Comparison.Concession', 'Contingency.Cause']
preds:  ['Contingency.Cause', 'Expansion.Alternative', 'Temporal.Asynchronous', 'Repetition is a repetition to a repetition to a repetition', 'Conting condition. Conformity. Contingency. Conformity. Contingency.', 'Expansion. Conjunction.', 'comparison - comparison - comparison - comparison - comparison - comparison - comparison - comparison -', 'Rejectation of a recitation of a recitation of a recitation of a', 'Expansion. Restorement', 'Contingency.Cause', 'Expansion.Conjunction', 'Definability.Goal', 'Temporal.Asonic', 'Temporal.Assynchronous', 'Temporal.Asynchronous.', 'Contingency.Condition']  | target:  ['Contingency.Cause', 'Expansion.Alternative', 'Temporal.Asynchronous', 'Repetition', 'Contingency.Condition', 'Expansion.Conjunction', 'Comparison.Contrast', 'Repetition', 'Expansion.Restatement', 'Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Goal', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Contingency.Condition']
preds:  ['Temporal.Asynchronous.', 'Expansion.Alternative', 'Comparison.', 'Contade.Causes.Caves.Caves.Caves.', 'Expansion.Alternative', 'Concession.Concession.Concession.Concession.Congress.Concession.Congress.Congress.', 'Contingency.Condition.', 'Contingency.Goal', 'Repetition Repetition is a game played in which a game is played. The game is a', 'Expansion. Conjunction', 'Contingency.', 'Temporal.Asynchronous', 'Contingency.Cause.', 'Contingency.Cause.', '............', 'Contingency.Cause']  | target:  ['Temporal.Asynchronous', 'Expansion.Alternative', 'Comparison.Concession', 'Contingency.Cause', 'Expansion.Alternative', 'Comparison.Concession', 'Contingency.Condition', 'Contingency.Goal', 'Repetition', 'Expansion.Conjunction', 'Contingency.Cause', 'Temporal.Asynchronous', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Cause']
preds:  ['Contingency.', 'Temporal.Asyst.Asyst.Asyst.Asy', 'Temporal.Asynchronous.', "I'm comparing.", 'Expansion. Conjunction', 'Temporary.Assigned', 'Temporal.Asynchronous', 'Contency.Cause', "i'm not a fan of sex. i'm a fan of sex", 'Experimentation.', 'Contingency.', 'Comparison.com. Comparison.com.com. Comparison.com. Comparison.com.com.com. Comparison.', 'Reitition - a decision on a decision on a decision on a decision on a decision', 'Contingency.Cause', 'Temporal.Ascension.', 'Contingency.Cause Contingency.Cause']  | target:  ['Contingency.Condition', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Comparison.Contrast', 'Expansion.Conjunction', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Contingency.Cause', 'Contingency.Cause', 'Expansion.Restatement', 'Contingency.Cause', 'Comparison.Contrast', 'Repetition', 'Contingency.Cause', 'Temporal.Asynchronous', 'Contingency.Cause']
preds:  ['Agreement.Consumption.Consumption.Consumption.Consumption.Consum', 'Contingency.', 'Interrupted', 'Expansion.Conjunction', 'comparison.concession.concession.acession.acession.acession.acession.acession.a', '           ', 'Temporal.Asynchronous.', 'Comparison.Convention', 'Expansion.Restatement', 'Reflections in favour of re-election', 'Expansion.', 'Temporal.asynchronous.', 'Temporal.Synchony', 'Synchrony', 'Comparison. Concession', 'Expansion.Alternative']  | target:  ['Comparison.Concession', 'Contingency.Cause', 'Interrupted', 'Expansion.Conjunction', 'Comparison.Concession', 'Contingency.Cause', 'Temporal.Asynchronous', 'Comparison.Concession', 'Expansion.Restatement', 'Repetition', 'Expansion.Conjunction', 'Temporal.Asynchronous', 'Temporal.Synchrony', 'Temporal.Synchrony', 'Comparison.Concession', 'Expansion.Alternative']
preds:  ['Temporal.Attair.', 'Contingency.Cause', 'comparison.', 'Expansion.Restatement', 'Contentingency.Cause', 'Contingency.Cause', 'Comparison. Concession. Concession. Concession. Concession. Concession. Concession. Concession. Con', 'Comparison.Contrast', 'Expansion.Restatement', 'Comparison.Consider comparison.', 'Contingency. Contingency.', 'Expansion.Conjunction', 'Contingency. Decision.', 'Contingency.Cause', 'Contingency.Condition', '           ']  | target:  ['Temporal.Asynchronous', 'Contingency.Cause', 'Comparison.Contrast', 'Expansion.Restatement', 'Contingency.Cause', 'Contingency.Cause', 'Comparison.Concession', 'Comparison.Contrast', 'Expansion.Restatement', 'Comparison.Concession', 'Contingency.Condition', 'Expansion.Conjunction', 'Contingency.Goal', 'Contingency.Cause', 'Contingency.Condition', 'Expansion.Alternative']
preds:  ['Expansion.Contribution.Conjunction.Expansion.Conjunction.Conjunction.', 'Expansion.Conjunction', 'Contingency.Cause', 'Expansion.Alternative', 'Contingency.Cause', 'Expansion. Representation', 'Contency. Case.', 'Comparison.Contribution', 'Contingency.', 'Expansion.Restatement', 'Temporal.Asynchronous.', 'Temporal.Answer.Answer.Answer.Answer.A', 'Temporal.simple.syssion.syssion', 'Expansion.Alternative', 'Expansion. Restatement', 'Interrupted,         ']  | target:  ['Expansion.Conjunction', 'Expansion.Conjunction', 'Contingency.Cause', 'Expansion.Alternative', 'Contingency.Cause', 'Expansion.Restatement', 'Contingency.Cause', 'Comparison.Concession', 'Contingency.Condition', 'Expansion.Restatement', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Temporal.Synchrony', 'Expansion.Alternative', 'Expansion.Restatement', 'Interrupted']
preds:  ['Confederacation of the United States of America is a division of the United States of the United States of', 'Expansion.', 'Comparison of the results of a comparison of the results of a comparison of the results of a comparison of the', 'Temporal.Assizzle.Assizzle.Assizzle.', 'Interrupted', '           ', 'a lack of adducts is a danger to the health and safety of a person.', 'Expansion.', 'Expansion.Restatement', 'The repulsion of a repulsion of a repulsion of a repulsion of ', 'Repetition', 'Expansion.Restatement', 'Contingency.Cause', 'Temporal.Astrial.astrial. Temporal.Astrial.ast', 'Interrupted', 'Contingency']  | target:  ['Comparison.Concession', 'Expansion.Conjunction', 'Comparison.Contrast', 'Temporal.Asynchronous', 'Interrupted', 'Contingency.Goal', 'Contingency.Cause', 'Expansion.Alternative', 'Expansion.Restatement', 'Repetition', 'Repetition', 'Expansion.Restatement', 'Contingency.Cause', 'Temporal.Asynchronous', 'Interrupted', 'Contingency.Goal']
preds:  ['Temporal.Synchrony', 'Contingency.Cause', 'Contingency.Goal', 'Repetition', 'Contingency.Goal', 'Comparison.Concession.', 'Contingency.Cause', 'Comparison.', 'Expansion:Restatement', 'Repulsion', 'Repulsion is a response to a resentment.', 'Temporal.Assual.Assual.', 'Repetition for re-election', 'Contingency.', 'Temporal.asynchronous.', 'Contingency.Cause']  | target:  ['Temporal.Synchrony', 'Contingency.Cause', 'Contingency.Goal', 'Repetition', 'Contingency.Goal', 'Comparison.Concession', 'Contingency.Cause', 'Comparison.Concession', 'Expansion.Restatement', 'Repetition', 'Repetition', 'Temporal.Asynchronous', 'Repetition', 'Contingency.Condition', 'Temporal.Asynchronous', 'Contingency.Cause']
preds:  ['Contingency. Cause', 'Comparison.', 'Temporal. Synchrony', 'Expansion. Alternatives.', 'Contingency.Condition', 'Comparison. Comparison. Comparison. Comparison. Comparison. Comparison.', 'Temporal.', 'Repetition is a saturday night show. It is a show that aireed on', 'Contingency.Conditionency.Conditionency.Condition', 'Comparison.', 'Contingency.Cause', 'Contingency.Cause', 'Repetition for a re-election', 'Contingency. Contingency. Contingency. Contingency. Contingency. Contingency.', 'Expansion.Representation.details.expansion.expansion.expansion.', 'Contingency.']  | target:  ['Contingency.Cause', 'Comparison.Concession', 'Temporal.Synchrony', 'Expansion.Alternative', 'Contingency.Condition', 'Comparison.Concession', 'Temporal.Synchrony', 'Repetition', 'Contingency.Condition', 'Comparison.Concession', 'Contingency.Cause', 'Contingency.Cause', 'Repetition', 'Contingency.Condition', 'Expansion.Restatement', 'Contingency.Goal']
preds:  ['Contemptuousness.God', 'Expansion.Restatement', 'Contingency.Causes', 'Repetition', 'Comparison.Concession.', 'Expansion.Restatement', 'Temporal.Ascensor.Ascensor.Ascensor.', 'Expansion.Conjunction', 'Comparison.Contrast.', 'Contingency.', 'Contingency.Cause', 'Expansion.', 'Comparison.', 'Question: What is the name of a person who has a phobia of asexuality? Answer:', 'Repetition is a decision taken by the opposition party.', 'Repetition is a resounding resounding resounding resounding re']  | target:  ['Contingency.Goal', 'Expansion.Restatement', 'Contingency.Cause', 'Repetition', 'Comparison.Concession', 'Expansion.Restatement', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Comparison.Contrast', 'Contingency.Cause', 'Contingency.Cause', 'Expansion.Restatement', 'Comparison.Concession', 'Repetition', 'Repetition', 'Repetition']
preds:  ['Temporal.Asynchronous.', 'Expansion.Restatement', 'Temporal. Asynchronous.', 'Expansion.Conjunction.', 'Repetition is a decision based on a vote of confidence. Repetition is a decision ', 'Contingency.Cause |        ', 'Expansion.Alternative', 'Expansion.Instantiation', 'Temporal. Asynchronous', 'Expansion.Conjunction: Expansion.Conjunction: Expansion.Conjunction:', 'Response to the Resolving Crisis is a resounding resounding reaffirmation of', 'Expansion.Conjunction', 'Contingency.', 'Contingency.Cause', 'Comparison.Concession', 'Contingency.Cause']  | target:  ['Temporal.Asynchronous', 'Expansion.Restatement', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Repetition', 'Contingency.Cause', 'Expansion.Alternative', 'Expansion.Instantiation', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Repetition', 'Expansion.Conjunction', 'Contingency.Condition', 'Contingency.Cause', 'Comparison.Concession', 'Contingency.Cause']
preds:  ['Contency.Cause', 'Contingency.', 'Difference.', 'Temporal.Assembled', 'Contingency. Contingency. Contingency. Contingency. Contingency. Contingency.', 'Contingency.', 'Temporal.Asynchronous.', 'Contingency.Condition', '           ', 'Contingency.Cause', 'Contingency.', 'Contingency.Cause', 'Temporary.Synchrony', 'Temporal.Asynchronous', 'Expansion.Construction.Construction', 'Temporal.Asynchronous']  | target:  ['Contingency.Cause', 'Contingency.Cause', 'Comparison.Contrast', 'Temporal.Asynchronous', 'Contingency.Condition', 'Contingency.Cause', 'Temporal.Asynchronous', 'Contingency.Condition', 'Comparison.Concession', 'Contingency.Cause', 'Contingency.Condition', 'Contingency.Cause', 'Temporal.Synchrony', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Temporal.Asynchronous']
preds:  ['Comparison.Congress.Congress.Congress.Congress.Congress.Congress.Congress.Con', '..dition......... ', 'Comparison - Concession', 'Temporal.Assembly', 'Expansion.Conjunction', 'Contingency.Cause', 'Expansion.Conjunction', 'Comparison.Conciution.Conciution. Comparison.Conciution.', 'Temporal.Astrial.Ast', 'Temporal.Asynchronous', 'Comparison. Contraband.', 'Comparison.', 'Contingency.Cause', 'Expansion:Restatement', 'Expansion.', 'Temporal.Asynchronous.']  | target:  ['Comparison.Concession', 'Contingency.Condition', 'Comparison.Concession', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Contingency.Cause', 'Expansion.Conjunction', 'Comparison.Concession', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Comparison.Contrast', 'Comparison.Concession', 'Contingency.Cause', 'Expansion.Restatement', 'Expansion.Restatement', 'Temporal.Asynchronous']
preds:  ['Contingency.', 'Expansion.', 'Contingency.Convention', 'Expansion.', 'Comparison.Company.Company.Company.Company.Company.Compan', 'Contingency.Case.Case', '           ', 'Comparison.', 'Interrupted', 'Contingency.', 'Expansion.Conversation.', 'Contance.Cause.', 'Temporal.Asynchronous.', 'Contances.', 'Consequence of a resemblance to a resemblance to a ', 'Asynchronous.Secure.Secure.Serial.Serial.Serial']  | target:  ['Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Condition', 'Expansion.Instantiation', 'Comparison.Contrast', 'Contingency.Cause', 'Comparison.Concession', 'Comparison.Concession', 'Interrupted', 'Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Cause', 'Temporal.Asynchronous', 'Contingency.Condition', 'Contingency.Cause', 'Temporal.Asynchronous']
preds:  ['Contingency.', 'comparison.Component.Component.Component.Component.Component.Component.Component.Com', 'Comparison. Concession', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Caution.Case Contingency.Case Contingency.', 'Contingency.Cause', 'Contingency.', 'Expansion.Restatement', 'Expansion.Conjunction', 'Temporal.', 'Expansion.Restatement', 'Contingency.', 'Expansion.Conjunction', 'Temporal.Astual.Astrial.Astual.Astrial.A', 'Expansion.Conjunction.']  | target:  ['Contingency.Goal', 'Comparison.Contrast', 'Comparison.Concession', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Cause', 'Expansion.Restatement', 'Expansion.Conjunction', 'Temporal.Asynchronous', 'Expansion.Restatement', 'Contingency.Cause', 'Expansion.Conjunction', 'Temporal.Asynchronous', 'Expansion.Conjunction']
preds:  ['Drinking water is a good way to avoid alcohol.', 'Expansion.Conjunction', 'Contingency. Goal.', 'The Repetition is a re-election game. The re-election game is a', 'Temporal.Asynchronous.', 'Contingency.Cade.Cade.Cade.Cade.Cade.', 'Contingency.Cause', 'Temporary.Asynchronous.', 'Comparison.Concession.', '           ', 'Expansion.Conjunction', 'Temporal.Synchrony', 'Contingency.Cause', 'is a sentence in a sentence that refers to a sentence in which a sentence refers to ', 'Contingency.Cause.', 'Temporal. Asynchronous']  | target:  ['Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Goal', 'Repetition', 'Temporal.Asynchronous', 'Contingency.Cause', 'Contingency.Cause', 'Temporal.Asynchronous', 'Comparison.Concession', 'Contingency.Condition', 'Expansion.Conjunction', 'Temporal.Synchrony', 'Contingency.Cause', 'Contingency.Condition', 'Contingency.Cause', 'Temporal.Asynchronous']
