learning epoch:  1 ...
preds:  ['e', 'e', 'progression of', '-', 'joint ', 'enablement', 'e', 'e', 'enablement', 'is ', 'e', 'joint venture', 'e', 'b', 'b', 'e']  | target:  ['elab-addition', 'elab-addition', 'progression', 'manner-means', 'joint', 'enablement', 'elab-addition', 'elab-addition', 'enablement', 'attribution', 'elab-addition', 'joint', 'elab-addition', 'bg-general', 'bg-general', 'elab-addition']
preds:  ['it is', 'enables', 'e', 'joint medicine', 'e', 'result:', 'joint reality', 'joint venture', 'e', 'e', 'e', 'Joint Joint', 'e', 'e', 'e', 'e']  | target:  ['condition', 'enablement', 'elab-addition', 'joint', 'elab-addition', 'result', 'joint', 'joint', 'elab-addition', 'elab-addition', 'elab-addition', 'joint', 'elab-addition', 'elab-process_step', 'elab-addition', 'elab-addition']
preds:  ['b', ',', 'Joint', 'e', 'e', 'e', 'e', 'ologically', 'joint venture', 'joint', 'evaluations', 'e', 'e', 'evaluations', 'joint ', 'joint ']  | target:  ['bg-general', 'joint', 'joint', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'attribution', 'joint', 'joint', 'evaluation', 'elab-addition', 'elab-addition', 'evaluation', 'joint', 'joint']
preds:  ['joint ', 'e', '', 'b', 'e', 'progression of', 'e', 'a', 'e', 'e', 'evaluation', 'e', 'temporal', 'joint of', 'enablement', 'e']  | target:  ['joint', 'elab-addition', 'attribution', 'bg-general', 'elab-addition', 'progression', 'elab-process_step', 'manner-means', 'elab-addition', 'elab-addition', 'evaluation', 'elab-process_step', 'temporal', 'joint', 'enablement', 'joint']
preds:  ['e', 'e', 'e', 'a', 'e', 'e', 'e', '', 'evaluations', 'enablement', 'e', 'e', 'enable the', 'e', 'e', 'e']  | target:  ['elab-addition', 'elab-addition', 'elab-addition', 'result', 'elab-addition', 'elab-addition', 'elab-addition', 'joint', 'evaluation', 'enablement', 'elab-addition', 'elab-process_step', 'enablement', 'elab-addition', 'elab-addition', 'elab-addition']
preds:  ['result in', 'e', 'Joint Joint', 'b', 'e', 's', 'joint joint', 'e', 'evaluation of', 'joints joint', 'enablement', 'joint venture', 'joint joint', 'joint joint', 'joint', 'enablement']  | target:  ['result', 'elab-addition', 'joint', 'bg-general', 'elab-addition', 'joint', 'joint', 'elab-addition', 'evaluation', 'joint', 'enablement', 'joint', 'joint', 'joint', 'joint', 'enablement']
preds:  ['e', 'evaluation of', 'joint venture', 'joint >', 'e', 'e', 'joint joint', 'joint', 's', 'e', 'e', 'e', 'b', 'joint joint', 'e', 'GB']  | target:  ['elab-enumember', 'evaluation', 'joint', 'joint', 'elab-addition', 'elab-aspect', 'joint', 'joint', 'joint', 'elab-enumember', 'elab-addition', 'elab-addition', 'bg-general', 'joint', 'elab-addition', 'bg-general']
preds:  ['enablement', 'e', 'b', 'e', 'enablement', 'e', 'e', 'enablement', 'e', 'a', 'results in', ',', 'a', 'e', 'b', 'is ']  | target:  ['enablement', 'elab-addition', 'bg-general', 'elab-addition', 'enablement', 'elab-process_step', 'elab-addition', 'enablement', 'elab-addition', 'enablement', 'result', 'joint', 'joint', 'elab-addition', 'bg-general', 'attribution']
preds:  ['joint', 'contrast:', 'it was', 'g', 'b', 'co-', 'joint', 'e', 'e', 'BGB', 'progression of', 'e', 'o', 'exp-', 's', 'evaluation of']  | target:  ['joint', 'contrast', 'result', 'bg-general', 'bg-general', 'joint', 'joint', 'elab-addition', 'elab-addition', 'bg-goal', 'progression', 'elab-addition', 'joint', 'exp-evidence', 'attribution', 'evaluation']
preds:  ['g', 'result:', 'GB', 's', 'e', 'a', 'a', 'contrast to', 'e', 'joint with', 'e', 'b', 'b', 'joint ', 'b', 'ROOT']  | target:  ['bg-goal', 'result', 'bg-general', 'joint', 'elab-addition', 'enablement', 'attribution', 'contrast', 'elab-addition', 'joint', 'elab-addition', 'bg-general', 'bg-general', 'joint', 'bg-general', 'ROOT']
preds:  ['e', 'as the', 'joint', '-', 'enablement', 'evaluation of', 'joint venture', 'enable', 'a', 'evaluating', 'e', 'a', 'enablement', 's', 'joint joint', 'e']  | target:  ['elab-addition', 'summary', 'joint', 'elab-addition', 'enablement', 'evaluation', 'joint', 'enablement', 'evaluation', 'evaluation', 'elab-addition', 'exp-reason', 'enablement', 'joint', 'joint', 'elab-addition']
preds:  ['e', 'joint venture', 'e', 'joint joint', 'joint ', 'i', 'joint joint', 'e', 'is ', 'b', 'b', 'is ', 'e', 'joint ', 'temporal', 'e']  | target:  ['elab-addition', 'joint', 'elab-aspect', 'joint', 'joint', 'cause', 'joint', 'elab-addition', 'attribution', 'bg-general', 'bg-general', 'attribution', 'elab-addition', 'joint', 'temporal', 'elab-addition']
preds:  ['enablement', 'joint ', 'e', '-', 'mirrors', 'e', 'joint joint', 'Evaluation', 'e', 'joint joint', 'e', 'e', 'temporal', 'e', 'e', 'b']  | target:  ['enablement', 'joint', 'elab-addition', 'manner-means', 'contrast', 'elab-addition', 'joint', 'evaluation', 'elab-addition', 'joint', 'elab-addition', 'elab-addition', 'temporal', 'elab-addition', 'elab-addition', 'bg-goal']
preds:  ['joint is', 'joint joint', 'b', 'joint', 'enablement', 'a', 'e', 'enablement', 'e', 'a', 'e', 'evaluating', 'b', 'e', 'joint medicine', 'b']  | target:  ['joint', 'joint', 'bg-general', 'joint', 'enablement', 'evaluation', 'elab-process_step', 'enablement', 'elab-addition', 'attribution', 'elab-addition', 'evaluation', 'bg-goal', 'elab-process_step', 'joint', 'bg-general']
preds:  ['joint venture', '', 'enablement', 'enablement', 'e', 'e', 'enablement', 'with ', 'b', 'evaluation of', 'b', 'b', 'e', 'joint', '', 'e']  | target:  ['joint', 'joint', 'enablement', 'enablement', 'elab-addition', 'elab-enumember', 'enablement', 'joint', 'bg-general', 'evaluation', 'bg-general', 'bg-general', 'elab-addition', 'joint', 'joint', 'elab-addition']
preds:  ['b', 'b', '', 'e', 'enables', 'b', 'enablement', 'joint venture', 'e', 'attribution', 'joint-', 'compare with', 'e', 'en', 'e', 'a']  | target:  ['bg-general', 'bg-goal', 'joint', 'elab-addition', 'enablement', 'bg-general', 'enablement', 'joint', 'elab-addition', 'attribution', 'joint', 'comparison', 'elab-addition', 'enablement', 'elab-addition', 'attribution']
preds:  ['evaluations', 'evaluation is', 'e', 'e', 'e', 'e', 'e', 'a', 'joint joint', 'e', 'e', 'e', 'enablement', 'contrast:', 'e', 'attribution']  | target:  ['evaluation', 'evaluation', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'progression', 'joint', 'elab-addition', 'elab-addition', 'elab-addition', 'enablement', 'contrast', 'elab-addition', 'attribution']
preds:  ['e', 'enablement', 'e', 'Assessment of', 'progression of', 'e', 'joint venture', 'enablement', '-', 'e', 'b', 'enablement', 'b', 'e', 'e', 'enablement']  | target:  ['elab-addition', 'enablement', 'elab-addition', 'evaluation', 'progression', 'elab-addition', 'joint', 'enablement', 'elab-addition', 'elab-addition', 'bg-general', 'enablement', 'bg-general', 'elab-addition', 'elab-addition', 'enablement']
preds:  ['b', 'together with', 'b', '-', 'co-', 'e', 'e', 'e', 'evaluation of', 'b', 'e', 'evaluations', 'e', 'evaluation of', 'together with', 'joint']  | target:  ['bg-goal', 'joint', 'bg-general', 'manner-means', 'joint', 'elab-addition', 'elab-addition', 'elab-addition', 'evaluation', 'bg-general', 'elab-addition', 'evaluation', 'elab-addition', 'evaluation', 'joint', 'joint']
preds:  ['b', 'e', 'joints are', 'b', 'e', 'joint-', 'enablement', 'enablement', 'joint joint', '', 'joint:', 'e', 'joint venture', 'joints of', 'as to', 'a']  | target:  ['bg-general', 'elab-addition', 'joint', 'bg-goal', 'elab-addition', 'joint', 'enablement', 'enablement', 'joint', 'attribution', 'joint', 'elab-addition', 'joint', 'joint', 'contrast', 'attribution']
preds:  ['a', 'enablement', 'joint ', 'joint venture', 'joint joint', 'e', 'e', 'enables', 'e', 'b', 'evaluation of', 'manners', 'vulnerability', 'to enable', 'o', '-']  | target:  ['attribution', 'enablement', 'joint', 'joint', 'joint', 'elab-addition', 'elab-addition', 'enablement', 'elab-addition', 'bg-goal', 'evaluation', 'manner-means', 'enablement', 'enablement', 'joint', 'enablement']
preds:  ['joint ', 'e', 'e', 'e', 'evaluation of', 'joint ', 'joint ', 'e', 'e', 'a', 'joint joint', 'Jointly', 'evaluating', 'manner-', 'e', 'e']  | target:  ['joint', 'elab-addition', 'elab-addition', 'elab-addition', 'evaluation', 'joint', 'joint', 'elab-addition', 'elab-addition', 'enablement', 'joint', 'joint', 'evaluation', 'manner-means', 'elab-process_step', 'elab-addition']
preds:  ['b', 'summary:', 'manner-', 'e', 'e', 'e', 'exp-', 'comparison of', 'exp-', 'e', 'e', 'Joint', 'evaluation', 'enablement', 'e', 'e']  | target:  ['bg-general', 'summary', 'manner-means', 'elab-aspect', 'elab-addition', 'elab-addition', 'exp-reason', 'comparison', 'exp-reason', 'elab-addition', 'elab-aspect', 'joint', 'evaluation', 'enablement', 'elab-addition', 'elab-addition']
preds:  ['enablement', 'a', 'e', 'e', 'member of', 'e', 'joint', 'e', 'g', 'b', 'e', 'e', 'e', 'e', 'e', 'e']  | target:  ['enablement', 'attribution', 'elab-addition', 'elab-addition', 'joint', 'elab-addition', 'joint', 'elab-addition', 'bg-general', 'bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition']
preds:  ['e', 'b', 'joints are', 'a', 'progression of', 'e', 'joint venture', 'joint venture', 'e', 'joints,', 'evaluation of', 'a', 'a', 'joint ', '', 'evaluation of']  | target:  ['elab-addition', 'bg-general', 'joint', 'attribution', 'progression', 'elab-addition', 'joint', 'joint', 'elab-addition', 'joint', 'evaluation', 'enablement', 'attribution', 'joint', 'joint', 'evaluation']
preds:  ['e', 'joint', 'e', 'e', 'b', 'Joint Joint', 'a', 'enablement', '-', 'e', 'joint venture', 'e', 'e', 'b', 'e', 'e']  | target:  ['elab-addition', 'joint', 'elab-aspect', 'elab-addition', 'bg-general', 'joint', 'enablement', 'enablement', 'joint', 'elab-addition', 'joint', 'elab-process_step', 'elab-addition', 'bg-general', 'elab-addition', 'elab-addition']
preds:  ['comparison:', 'enablement', ',', 'e', 'evaluation evaluation', 'b', '', 'result in', 'e', 'e', 'enablement', 'result:', 'exp-', 'joint', 'e', ',']  | target:  ['comparison', 'enablement', 'joint', 'elab-addition', 'evaluation', 'bg-general', 'joint', 'result', 'elab-aspect', 'elab-addition', 'enablement', 'result', 'exp-reason', 'joint', 'elab-process_step', 'contrast']
preds:  ['e', 'is ', 'e', 'e', 'a', 'e', 'b', 's', 'joint is', 'enablement', 'e', 'joint and', 'joint joint', '-', 'e', 'evaluation is']  | target:  ['elab-addition', 'attribution', 'elab-addition', 'elab-addition', 'attribution', 'elab-addition', 'bg-general', 'joint', 'joint', 'enablement', 'elab-addition', 'joint', 'joint', 'bg-general', 'elab-addition', 'evaluation']
preds:  ['joint venture', 'joint ']  | target:  ['joint', 'joint']
preds:  ['b', 'e', 'e', 'e', 'b', 'manner-', 'e', 'attribution', 'evaluation', 'e', 'enablement', 'manner-', 'e', 'manner-', 'e', 'enablement']  | target:  ['bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'bg-general', 'manner-means', 'elab-addition', 'attribution', 'evaluation', 'elab-addition', 'enablement', 'manner-means', 'elab-addition', 'manner-means', 'elab-addition', 'enablement']
preds:  ['e', 'e', 'e', 'joint ', 'evaluation', 'b', 'e', 'temporal', 'e', 'joint ', 'e', 'e', 'result:', 'b', 'e', 'e']  | target:  ['elab-aspect', 'elab-aspect', 'elab-addition', 'joint', 'evaluation', 'bg-general', 'elab-addition', 'temporal', 'elab-addition', 'joint', 'elab-addition', 'elab-addition', 'result', 'bg-goal', 'elab-addition', 'elab-addition']
preds:  ['enablement', 'e', 'progression of', 'b', 'enablement', 'e', 'joint ', 'e', 'enablement', 'attribution', 'evaluation', 'joint ', 'e', 'joint ', 'result:', 'b']  | target:  ['enablement', 'elab-addition', 'progression', 'bg-general', 'enablement', 'elab-addition', 'joint', 'elab-addition', 'enablement', 'attribution', 'evaluation', 'joint', 'elab-addition', 'joint', 'result', 'bg-general']
preds:  ['e', 'e', 'enablement', 'e', 'b', 'e', 'e', 'contrasts', 'result:', 'b', 'e', 'e', 'enablement', 'e', 'e', 'attribution']  | target:  ['elab-addition', 'elab-addition', 'enablement', 'elab-addition', 'bg-general', 'elab-addition', 'elab-addition', 'contrast', 'result', 'bg-general', 'elab-process_step', 'elab-process_step', 'enablement', 'elab-process_step', 'elab-addition', 'attribution']
preds:  ['evaluation', 'b', 'e', 'b', 'manner-', 'e', 'enablement', 'e', 'enablement', 'enablement', 'e', 'enablement', 'attribution', 'evaluation', 'b', 'joint ']  | target:  ['evaluation', 'bg-general', 'elab-addition', 'bg-general', 'manner-means', 'elab-process_step', 'enablement', 'elab-process_step', 'enablement', 'enablement', 'elab-process_step', 'enablement', 'attribution', 'evaluation', 'bg-general', 'joint']
preds:  ['e', 'e', 'b', 'b', 'e', 'joint ', 'joint ', 'joint ', 'joint ', 'e', 'b', 'e', 'e', 'e', 'e', 'e']  | target:  ['elab-addition', 'elab-addition', 'bg-general', 'bg-general', 'elab-addition', 'joint', 'joint', 'joint', 'joint', 'elab-addition', 'bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition']
preds:  ['result:', 'joint ', 'joint ', 'b', 'e', 'enablement', 'manner-', 'e', 'e', 'e', 'enablement', 'attribution', 'evaluation', 'b', 'e', 'e']  | target:  ['result', 'joint', 'joint', 'bg-general', 'elab-addition', 'enablement', 'manner-means', 'elab-addition', 'elab-process_step', 'elab-process_step', 'enablement', 'attribution', 'evaluation', 'bg-general', 'elab-addition', 'elab-addition']
preds:  ['e', 'e', 'e', 'attribution', 'evaluation', 'e', 'attribution', 'evaluation', 'b', 'e', 'e', 'e', 'enablement', 'attribution', 'evaluation', 'result:']  | target:  ['elab-addition', 'elab-addition', 'elab-enumember', 'attribution', 'evaluation', 'elab-enumember', 'attribution', 'evaluation', 'bg-general', 'elab-enumember', 'elab-addition', 'elab-enumember', 'enablement', 'attribution', 'evaluation', 'result']
preds:  ['enablement', 'comparison of', 'e', 'e', 'joint ', 'attribution', 'evaluation', 'e', 'e', 'e', 'e', 'a', 'joint ', 'e', 'e', 'joint ']  | target:  ['enablement', 'comparison', 'elab-addition', 'elab-addition', 'joint', 'attribution', 'evaluation', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'cause', 'joint', 'elab-addition', 'elab-addition', 'joint']
preds:  ['e', 'enablement', 'e', 'e', 'joint ', 'e', 'enablement', 'e', 'e', 'enablement', 'b', 'e', 'e', 'e', 'b', 'b']  | target:  ['elab-addition', 'enablement', 'elab-aspect', 'elab-aspect', 'joint', 'elab-aspect', 'enablement', 'elab-addition', 'elab-aspect', 'enablement', 'bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'bg-general', 'bg-general']
preds:  ['b', 'joint ', 'b', 'e', 'e', 'e', 'e', 'e', 'manner-', 'enablement', 'e', 'progression of', 'evaluation', 'e', 'joint ', 'b']  | target:  ['bg-general', 'joint', 'bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'manner-means', 'enablement', 'elab-addition', 'progression', 'evaluation', 'elab-addition', 'joint', 'bg-general']
preds:  ['progression of', 'e', 'joint ', 'enablement', 'b', 'e', 'e', 'enablement', 'joint ', 'enablement', 'joint ', 'enablement', 'attribution', 'temporal', 'evaluation', 'joint ']  | target:  ['progression', 'elab-addition', 'joint', 'enablement', 'bg-general', 'elab-addition', 'elab-addition', 'enablement', 'joint', 'enablement', 'joint', 'enablement', 'attribution', 'temporal', 'evaluation', 'joint']
preds:  ['e', 'b', 'b', 'e', 'e', 'progression of', 'e', 'e', 'e', 'joint ', 'a', 'e', 'enablement', 'enablement', 'enablement', 'enablement']  | target:  ['elab-addition', 'bg-general', 'bg-general', 'elab-addition', 'elab-addition', 'progression', 'elab-addition', 'elab-addition', 'elab-addition', 'joint', 'cause', 'elab-addition', 'enablement', 'enablement', 'enablement', 'enablement']
preds:  ['joint ', 'attribution', 'evaluation', 'b', 'e', 'e', 'b', 'e', 'b', 'joint ', 'e', 'attribution', 'evaluation', 'temporal', 'comparison of', 'e']  | target:  ['joint', 'attribution', 'evaluation', 'bg-general', 'elab-addition', 'elab-addition', 'bg-general', 'elab-addition', 'bg-general', 'joint', 'elab-addition', 'attribution', 'evaluation', 'temporal', 'comparison', 'elab-addition']
preds:  ['b', 'e', 'e', 'e', 'e', 'joint ', 'joint ', 'joint ', 'e', 'enablement', 'e', 'attribution', 'manner-', 'evaluation', 'b', 'e']  | target:  ['bg-goal', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-process_step', 'joint', 'joint', 'joint', 'elab-addition', 'enablement', 'elab-addition', 'attribution', 'manner-means', 'evaluation', 'bg-general', 'elab-addition']
preds:  ['e', 'e', 'manner-', 'e', 'attribution', 'e', 'joint ', 'joint ', 'attribution', 'joint ', 'e', 'joint ', 'b', 'e', 'enablement', 'joint ']  | target:  ['elab-addition', 'elab-addition', 'manner-means', 'elab-enumember', 'attribution', 'elab-addition', 'joint', 'joint', 'attribution', 'joint', 'elab-addition', 'joint', 'bg-general', 'elab-aspect', 'enablement', 'joint']
preds:  ['e', 'e', 'b', 'e', 'exp-', 'e', 'e', 'evaluation', 'b', 'result:', 'e', 'joint ', 'joint ', 'enablement', 'attribution', 'evaluation']  | target:  ['elab-addition', 'elab-addition', 'bg-general', 'elab-aspect', 'exp-reason', 'elab-aspect', 'elab-addition', 'evaluation', 'bg-goal', 'result', 'elab-addition', 'joint', 'joint', 'enablement', 'attribution', 'evaluation']
preds:  ['temporal', 'e', 'joint ', 'joint ', 'comparison of', 'joint ', 'e', 'e', 'joint ']  | target:  ['temporal', 'elab-enumember', 'joint', 'joint', 'comparison', 'joint', 'elab-addition', 'elab-addition', 'joint']
val_loss: 26.5175 val_acc: 0.2353 mismatch: 134146 complete_mismatch: 2821829
Epoch 1: Best val_acc: 0.2353
Epoch 1: train_loss: 32.8764 train_acc: 0.1127 | val_loss: 26.5175 val_acc: 0.2353
00:01:09.35
learning epoch:  2 ...
preds:  ['e', 'e', 'a', 'e', 'enablement', 'a', 'b', 'b', 'joint ', 'e', ',', 'e', 'evaluation of', 'e', 'e', 'joint exhibition']  | target:  ['elab-addition', 'elab-addition', 'result', 'elab-addition', 'enablement', 'contrast', 'bg-goal', 'bg-general', 'joint', 'elab-addition', 'joint', 'elab-addition', 'evaluation', 'elab-addition', 'elab-addition', 'joint']
