doc	unit1_toks	unit2_toks	unit1_txt	unit2_txt	perplexity_score	original_unit1_txt	original_unit2_txt	sentiment_score_1	sentiment_score_2	sentiment_graded_agreement	sentiment_agreement	s1_toks	s2_toks	unit1_sent	unit2_sent	dir	nuc_children	sat_children	genre	u1_discontinuous	u2_discontinuous	u1_issent	u2_issent	u1_length	u2_length	length_ratio	u1_speaker	u2_speaker	same_speaker	u1_func	u1_pos	u1_depdir	u2_func	u2_pos	u2_depdir	doclen	u1_position	u2_position	percent_distance	distance	lex_overlap_words	lex_overlap_length	unit1_case	unit2_case	label
maz-7220	5-26	59-92	Einen Reim konnten sich auch die Außen- und Sicherheitsexperten in Berlin gestern auf die Äußerungen von US-Verteidigungsminister Donald Rumsfeld nicht machen .	Rumsfeld , der von Anfang an als Hardliner innerhalb der US-Regierung in Erscheinung trat , habe wohl klarmachen wollen , dass es sich um einen längeren Feldzug handeln werde , hieß es vage .	80.86604309082031	Einen Reim konnten sich auch die Außen- und Sicherheitsexperten in Berlin gestern auf die Äußerungen von US-Verteidigungsminister Donald Rumsfeld nicht machen .	Rumsfeld , der von Anfang an als Hardliner innerhalb der US-Regierung in Erscheinung trat , habe wohl klarmachen wollen , dass es sich um einen längeren Feldzug handeln werde , hieß es vage .	neutral	neutral	StrongAgree	Agree	5-26	59-92	Einen Reim konnten sich auch die Außen- und Sicherheitsexperten in Berlin gestern auf die Äußerungen von US-Verteidigungsminister Donald Rumsfeld nicht machen .	Rumsfeld , der von Anfang an als Hardliner innerhalb der US-Regierung in Erscheinung trat , habe wohl klarmachen wollen , dass es sich um einen längeren Feldzug handeln werde , hieß es vage .	1>2	5	1	news	False	False	True	True	22	34	0.647	none	none	True	root	VVINF	ROOT	root	VVFIN	ROOT	174	0.029	0.339	0.31	3	Rumsfeld	1	cap_initial	cap_initial	interpretation
maz-7220	59-92	146-158	Rumsfeld , der von Anfang an als Hardliner innerhalb der US-Regierung in Erscheinung trat , habe wohl klarmachen wollen , dass es sich um einen längeren Feldzug handeln werde , hieß es vage .	so schleichen sich unwillkürlich Zweifel an der realistischen Kalkulation des Afghanistan-Einsatzes ein .	82.20501327514648	Rumsfeld , der von Anfang an als Hardliner innerhalb der US-Regierung in Erscheinung trat , habe wohl klarmachen wollen , dass es sich um einen längeren Feldzug handeln werde , hieß es vage .	so schleichen sich unwillkürlich Zweifel an der realistischen Kalkulation des Afghanistan-Einsatzes ein .	neutral	neutral	StrongAgree	Agree	59-92	122-158	Rumsfeld , der von Anfang an als Hardliner innerhalb der US-Regierung in Erscheinung trat , habe wohl klarmachen wollen , dass es sich um einen längeren Feldzug handeln werde , hieß es vage .	Betrachtet man die Äußerungen im Kontext des geradezu naiv anmutenden Eingeständnisses des Washingtoner Stabes , man sei verblüfft über die Hartnäckigkeit des Taliban-Widerstands , so schleichen sich unwillkürlich Zweifel an der realistischen Kalkulation des Afghanistan-Einsatzes ein .	1<2	5	1	news	False	False	True	False	34	13	2.615	none	none	True	root	VVFIN	ROOT	root	VVFIN	ROOT	174	0.339	0.839	0.5	4	_	0	cap_initial	other	joint
maz-10175	4-24	25-29	Manchmal sind es die kleinen Meldungen am Rande , die mehr über diesen Krieg aussagen als die Erfolgsberichte der Militärs .	Nach dem Fall von Masar-i-Scharif	83.70846176147461	Manchmal sind es die kleinen Meldungen am Rande , die mehr über diesen Krieg aussagen als die Erfolgsberichte der Militärs .	Nach dem Fall von Masar-i-Scharif	neutral	neutral	StrongAgree	Agree	4-24	25-55	Manchmal sind es die kleinen Meldungen am Rande , die mehr über diesen Krieg aussagen als die Erfolgsberichte der Militärs .	Nach dem Fall von Masar-i-Scharif sollen sich vor den Friseurläden der Stadt lange Schlangen von Männern gebildet haben , die sich ihre Bärte abrasieren lassen wollten , hieß es gestern .	1>2	4	0	news	False	False	True	False	21	5	4.2	none	none	True	root	NN	ROOT	obl	NN	RIGHT	207	0.019	0.121	0.101	1	_	0	cap_initial	title	circumstance
maz-15734	131-144	150-162	Und die Mittelstraße ist nicht so einfach mit den anderen Straßen zu vergleichen .	Das dürfte ein großer Unterschied sein zu den anderen Verkehrsadern der Stadt .	84.84643173217773	Und die Mittelstraße ist nicht so einfach mit den anderen Straßen zu vergleichen .	Das dürfte ein großer Unterschied sein zu den anderen Verkehrsadern der Stadt .	neutral	neutral	StrongAgree	Agree	131-144	150-162	Und die Mittelstraße ist nicht so einfach mit den anderen Straßen zu vergleichen .	Das dürfte ein großer Unterschied sein zu den anderen Verkehrsadern der Stadt .	1<2	2	0	news	False	False	True	True	14	13	1.077	none	none	True	root	VVINF	ROOT	root	NN	ROOT	204	0.642	0.735	0.093	2	_	0	cap_initial	cap_initial	interpretation
maz-11670	37-50	51-60	Mit dem Krieg beschäftigte sich am Sonnabend auch die Kreissynode der Evangelischen Kirche .	Sie verabschiedete eine Resolution gegen den Krieg in Afghanistan .	85.41829299926758	Mit dem Krieg beschäftigte sich am Sonnabend auch die Kreissynode der Evangelischen Kirche .	Sie verabschiedete eine Resolution gegen den Krieg in Afghanistan .	neutral	neutral	StrongAgree	Agree	37-50	51-60	Mit dem Krieg beschäftigte sich am Sonnabend auch die Kreissynode der Evangelischen Kirche .	Sie verabschiedete eine Resolution gegen den Krieg in Afghanistan .	1>2	2	0	news	False	False	True	True	14	10	1.4	none	none	True	root	VVFIN	ROOT	root	VVFIN	ROOT	193	0.192	0.264	0.073	1	Krieg	1	cap_initial	cap_initial	circumstance
maz-8981	2-13	14-34	Frischluftfans ist der Donau-Radwanderweg genauso ein Begriff wie auch der Münsterland-Radwanderweg .	Warum sollte da nicht der Landkreis Teltow-Fläming für alle Sportbegeisterten Brandenburgs oder gar Deutschlands einmal der Inbegriff für Inline-Skaten werden ?	86.65986633300781	Frischluftfans ist der Donau-Radwanderweg genauso ein Begriff wie auch der Münsterland-Radwanderweg .	Warum sollte da nicht der Landkreis Teltow-Fläming für alle Sportbegeisterten Brandenburgs oder gar Deutschlands einmal der Inbegriff für Inline-Skaten werden ?	neutral	neutral	StrongAgree	Agree	2-13	14-34	Frischluftfans ist der Donau-Radwanderweg genauso ein Begriff wie auch der Münsterland-Radwanderweg .	Warum sollte da nicht der Landkreis Teltow-Fläming für alle Sportbegeisterten Brandenburgs oder gar Deutschlands einmal der Inbegriff für Inline-Skaten werden ?	1>2	4	0	news	False	False	True	True	12	21	0.571	none	none	True	root	NN	ROOT	root	NN	ROOT	189	0.011	0.074	0.063	1	_	0	cap_initial	cap_initial	background
maz-19012	95-115	158-171	Es kann also keine Rede davon sein , dass die weiße Weihnacht ein Phänomen ist , das der Vergangenheit angehört .	Immerhin bleiben den Menschen in diesen Regionen die Wetterunbilden auf den Straßen erspart .	87.65677261352539	Es kann also keine Rede davon sein , dass die weiße Weihnacht ein Phänomen ist , das der Vergangenheit angehört .	Immerhin bleiben den Menschen in diesen Regionen die Wetterunbilden auf den Straßen erspart .	neutral	neutral	StrongAgree	Agree	95-115	158-171	Es kann also keine Rede davon sein , dass die weiße Weihnacht ein Phänomen ist , das der Vergangenheit angehört .	Immerhin bleiben den Menschen in diesen Regionen die Wetterunbilden auf den Straßen erspart .	1<2	5	0	news	False	False	True	True	21	14	1.5	none	none	True	root	NN	ROOT	root	VVFIN	ROOT	212	0.448	0.745	0.297	6	_	0	cap_initial	cap_initial	joint
maz-10110	2-26	27-44	Wie schwierig es ist , in dieser Region einen Ausbildungsplatz zu finden , haben wir an dieser und anderer Stelle oft und ausführlich bewertet .	Trotzdem bemühen sich Unternehmen sowie die Industrie- und Handelskammer Potsdam den Schulabgängern Wege in die Ausbildung aufzuzeigen .	87.67452621459961	Wie schwierig es ist , in dieser Region einen Ausbildungsplatz zu finden , haben wir an dieser und anderer Stelle oft und ausführlich bewertet .	Trotzdem bemühen sich Unternehmen sowie die Industrie- und Handelskammer Potsdam den Schulabgängern Wege in die Ausbildung aufzuzeigen .	negative	neutral	Agree	Disagree	2-26	27-44	Wie schwierig es ist , in dieser Region einen Ausbildungsplatz zu finden , haben wir an dieser und anderer Stelle oft und ausführlich bewertet .	Trotzdem bemühen sich Unternehmen sowie die Industrie- und Handelskammer Potsdam den Schulabgängern Wege in die Ausbildung aufzuzeigen .	1>2	1	0	news	False	False	True	True	25	18	1.389	none	none	True	root	VVPP	ROOT	root	VVFIN	ROOT	190	0.011	0.142	0.132	1	_	0	cap_initial	cap_initial	concession
maz-17953	58-71	72-80	Vor allem , sagt er mit Augenzwinkern , habe er zwischen den Zeilen gelesen	und sei dabei auf etwas ganz Wichtiges gestoßen .	88.3225154876709	Vor allem , sagt er mit Augenzwinkern , habe er zwischen den Zeilen gelesen	und sei dabei auf etwas ganz Wichtiges gestoßen .	neutral	neutral	StrongAgree	Agree	58-80	58-80	Vor allem , sagt er mit Augenzwinkern , habe er zwischen den Zeilen gelesen und sei dabei auf etwas ganz Wichtiges gestoßen .	Vor allem , sagt er mit Augenzwinkern , habe er zwischen den Zeilen gelesen und sei dabei auf etwas ganz Wichtiges gestoßen .	1>2	5	0	news	False	False	False	False	14	9	1.556	none	none	True	root	VVFIN	ROOT	conj	VVPP	LEFT	202	0.287	0.356	0.069	1	_	0	cap_initial	other	circumstance
maz-14384	22-32	127-144	Voll des Lobes waren Mitglieder des Pritzwalker Bauausschusses am Mittwoch ,	Der wunderbare Mischwald am Rande der Stadt entfaltet aber nicht nur eine nostalgische Wirkung auf die Menschen .	89.02762603759766	Voll des Lobes waren Mitglieder des Pritzwalker Bauausschusses am Mittwoch ,	Der wunderbare Mischwald am Rande der Stadt entfaltet aber nicht nur eine nostalgische Wirkung auf die Menschen .	neutral	neutral	StrongAgree	Agree	22-47	127-144	Voll des Lobes waren Mitglieder des Pritzwalker Bauausschusses am Mittwoch , als ein Bericht über die Bewirtschaftung des Stadtforstes auf der Tagesordnung ihrer Sitzung stand .	Der wunderbare Mischwald am Rande der Stadt entfaltet aber nicht nur eine nostalgische Wirkung auf die Menschen .	1>2	4	3	news	False	False	False	True	11	18	0.611	none	none	True	root	NN	ROOT	root	VVFIN	ROOT	212	0.104	0.599	0.495	9	_	0	title	cap_initial	background
maz-17062	112-133	134-147	Dass es Menschen gibt in dieser Stadt , die etwas bewirken können , hat die Umsetzung des jetzt ausgelaufenen Urban-Programmes gezeigt .	Innerhalb der vergangenen sechs Jahre hat die Bahnhofsvorstadt ihr Gesicht fast völlig verändert .	89.08621597290039	Dass es Menschen gibt in dieser Stadt , die etwas bewirken können , hat die Umsetzung des jetzt ausgelaufenen Urban-Programmes gezeigt .	Innerhalb der vergangenen sechs Jahre hat die Bahnhofsvorstadt ihr Gesicht fast völlig verändert .	neutral	neutral	StrongAgree	Agree	112-133	134-147	Dass es Menschen gibt in dieser Stadt , die etwas bewirken können , hat die Umsetzung des jetzt ausgelaufenen Urban-Programmes gezeigt .	Innerhalb der vergangenen sechs Jahre hat die Bahnhofsvorstadt ihr Gesicht fast völlig verändert .	1<2	1	1	news	False	False	True	True	22	14	1.571	none	none	True	root	VVPP	ROOT	root	VVPP	ROOT	186	0.602	0.72	0.118	1	_	0	cap_initial	cap_initial	evidence
maz-12383	70-81	82-99	Durch Verschweigen bekommt man das Problem allerdings nicht aus der Welt .	Unter dem Deckmantel des Wegschauens und Verheimlichens blüht der Drogenhandel und -konsum noch viel ungestörter als dort ,	89.1356430053711	Durch Verschweigen bekommt man das Problem allerdings nicht aus der Welt .	Unter dem Deckmantel des Wegschauens und Verheimlichens blüht der Drogenhandel und -konsum noch viel ungestörter als dort ,	neutral	neutral	StrongAgree	Agree	70-81	82-111	Durch Verschweigen bekommt man das Problem allerdings nicht aus der Welt .	Unter dem Deckmantel des Wegschauens und Verheimlichens blüht der Drogenhandel und -konsum noch viel ungestörter als dort , wo alle die Augen offen halten und über das Problem sprechen .	1<2	4	1	news	False	False	True	False	12	18	0.667	none	none	True	root	VVFIN	ROOT	root	VVFIN	ROOT	208	0.337	0.394	0.058	1	_	0	cap_initial	cap_initial	reason
maz-10175	194-197	198-207	Gelingt das nicht ,	steht die Glaubwürdigkeit der gesamten Anti-Terror-Operation auf dem Spiel .	90.5202865600586	Gelingt das nicht ,	steht die Glaubwürdigkeit der gesamten Anti-Terror-Operation auf dem Spiel .	negative	neutral	Agree	Disagree	194-207	194-207	Gelingt das nicht , steht die Glaubwürdigkeit der gesamten Anti-Terror-Operation auf dem Spiel .	Gelingt das nicht , steht die Glaubwürdigkeit der gesamten Anti-Terror-Operation auf dem Spiel .	1>2	1	0	news	False	False	False	False	4	10	0.4	none	none	True	advcl	VVFIN	RIGHT	root	VVFIN	ROOT	207	0.937	0.957	0.019	1	_	0	title	other	condition
maz-7220	122-145	146-158	Betrachtet man die Äußerungen im Kontext des geradezu naiv anmutenden Eingeständnisses des Washingtoner Stabes , man sei verblüfft über die Hartnäckigkeit des Taliban-Widerstands ,	so schleichen sich unwillkürlich Zweifel an der realistischen Kalkulation des Afghanistan-Einsatzes ein .	91.34131240844727	Betrachtet man die Äußerungen im Kontext des geradezu naiv anmutenden Eingeständnisses des Washingtoner Stabes , man sei verblüfft über die Hartnäckigkeit des Taliban-Widerstands ,	so schleichen sich unwillkürlich Zweifel an der realistischen Kalkulation des Afghanistan-Einsatzes ein .	neutral	neutral	StrongAgree	Agree	122-158	122-158	Betrachtet man die Äußerungen im Kontext des geradezu naiv anmutenden Eingeständnisses des Washingtoner Stabes , man sei verblüfft über die Hartnäckigkeit des Taliban-Widerstands , so schleichen sich unwillkürlich Zweifel an der realistischen Kalkulation des Afghanistan-Einsatzes ein .	Betrachtet man die Äußerungen im Kontext des geradezu naiv anmutenden Eingeständnisses des Washingtoner Stabes , man sei verblüfft über die Hartnäckigkeit des Taliban-Widerstands , so schleichen sich unwillkürlich Zweifel an der realistischen Kalkulation des Afghanistan-Einsatzes ein .	1>2	1	0	news	False	False	False	False	24	13	1.846	none	none	True	advcl	VVFIN	RIGHT	root	VVFIN	ROOT	174	0.701	0.839	0.138	1	_	0	cap_initial	other	condition
maz-18333	47-53	64-83	Also kann es nur gut sein ,	Auf dem Weg dorthin wurde gestern mit der feierlichen Grundsteinlegung für die Baumaßnahmen zur Ortsumgehung ein wichtiger Meilenstein gelegt .	91.63617706298828	Also kann es nur gut sein ,	Auf dem Weg dorthin wurde gestern mit der feierlichen Grundsteinlegung für die Baumaßnahmen zur Ortsumgehung ein wichtiger Meilenstein gelegt .	positive	neutral	Agree	Disagree	47-63	64-83	Also kann es nur gut sein , wenn die Ortsumgehung so schnell wie möglich fertig wird .	Auf dem Weg dorthin wurde gestern mit der feierlichen Grundsteinlegung für die Baumaßnahmen zur Ortsumgehung ein wichtiger Meilenstein gelegt .	1>2	1	2	news	False	False	False	True	7	20	0.35	none	none	True	root	ADJD	ROOT	root	VVPP	ROOT	191	0.246	0.335	0.089	2	_	0	title	cap_initial	background
maz-13758	148-158	159-174	Schweren Herzens wird sich die Stadt von ihrem Geld trennen ,	wenn es nämlich darum geht , die Eigenanteile für bestimmte Vorhaben zur Verfügung zu stellen .	91.81349182128906	Schweren Herzens wird sich die Stadt von ihrem Geld trennen ,	wenn es nämlich darum geht , die Eigenanteile für bestimmte Vorhaben zur Verfügung zu stellen .	neutral	neutral	StrongAgree	Agree	148-174	148-174	Schweren Herzens wird sich die Stadt von ihrem Geld trennen , wenn es nämlich darum geht , die Eigenanteile für bestimmte Vorhaben zur Verfügung zu stellen .	Schweren Herzens wird sich die Stadt von ihrem Geld trennen , wenn es nämlich darum geht , die Eigenanteile für bestimmte Vorhaben zur Verfügung zu stellen .	1<2	1	0	news	False	False	False	False	11	16	0.688	none	none	True	root	VVINF	ROOT	advcl	VVFIN	LEFT	198	0.747	0.803	0.056	1	_	0	cap_initial	other	circumstance
maz-10175	25-29	94-107	Nach dem Fall von Masar-i-Scharif	kann man sich ein rasches Vorrücken der Nordallianz auf Kabul eigentlich nur wünschen .	92.40590286254883	Nach dem Fall von Masar-i-Scharif	kann man sich ein rasches Vorrücken der Nordallianz auf Kabul eigentlich nur wünschen .	neutral	positive	Agree	Disagree	25-55	91-107	Nach dem Fall von Masar-i-Scharif sollen sich vor den Friseurläden der Stadt lange Schlangen von Männern gebildet haben , die sich ihre Bärte abrasieren lassen wollten , hieß es gestern .	Bei solchen Nachrichten kann man sich ein rasches Vorrücken der Nordallianz auf Kabul eigentlich nur wünschen .	1>2	2	4	news	False	False	False	False	5	14	0.357	none	none	True	obl	NN	RIGHT	root	VVINF	ROOT	207	0.121	0.454	0.333	7	_	0	title	other	reason
