
dataset1	dataset2	phonological	syntactic	geographic	genetic	inventory	featural
fra.sdrt.annodis	zho.rst.sctb	0.5456	0.57	1.0	1.0	0.6025	0.6
nld.rst.nldt	deu.rst.pcc	0.5456	0.35	0.0	0.2857	0.3086	0.4
nld.rst.nldt	eng.pdtb.pdtb	0.5687	0.49	0.0	0.6	0.4861	0.5
nld.rst.nldt	eng.rst.gum	0.5687	0.49	0.0	0.6	0.4861	0.5
nld.rst.nldt	eng.rst.rstdt	0.5687	0.49	0.0	0.6	0.4861	0.5
nld.rst.nldt	eng.sdrt.stac	0.5687	0.49	0.0	0.6	0.4861	0.5
nld.rst.nldt	fas.rst.prstc	0.0002	0.88	0.5	1.0	0.5625	0.7
nld.rst.nldt	fra.sdrt.annodis	0.5456	0.51	0.0	0.9375	0.3411	0.5
nld.rst.nldt	nld.rst.nldt	0.0002	0.0	0.0	0.0	0.0	0.0
nld.rst.nldt	por.rst.cstn	0.0002	0.49	0.1	0.9333	0.3863	0.4
nld.rst.nldt	rus.rst.rrt	0.6162	0.57	0.2	0.8	0.5297	0.6
nld.rst.nldt	spa.rst.rststb	0.5922	0.58	0.1	0.9231	0.557	0.6
nld.rst.nldt	spa.rst.sctb	0.5922	0.58	0.1	0.9231	0.557	0.6
nld.rst.nldt	tur.pdtb.tdb	0.5922	0.71	0.1	1.0	0.4527	0.6
nld.rst.nldt	zho.rst.sctb	0.0002	0.63	1.0	1.0	0.6068	0.6
por.rst.cstn	deu.rst.pcc	0.5456	0.53	0.1	0.8571	0.4343	0.5
por.rst.cstn	eng.pdtb.pdtb	0.5687	0.47	0.1	0.9	0.4235	0.5
por.rst.cstn	eng.rst.gum	0.5687	0.47	0.1	0.9	0.4235	0.5
por.rst.cstn	eng.rst.rstdt	0.5687	0.47	0.1	0.9	0.4235	0.5
por.rst.cstn	eng.sdrt.stac	0.5687	0.47	0.1	0.9	0.4235	0.5
por.rst.cstn	fas.rst.prstc	0.0002	0.83	0.5	1.0	0.5048	0.6
por.rst.cstn	fra.sdrt.annodis	0.5456	0.46	0.0	0.4375	0.3947	0.5
por.rst.cstn	nld.rst.nldt	0.0002	0.49	0.1	0.9333	0.3863	0.4
por.rst.cstn	por.rst.cstn	0.0002	0.0	0.0	0.0	0.0	0.0
por.rst.cstn	rus.rst.rrt	0.6162	0.5	0.3	0.9333	0.47	0.5
por.rst.cstn	spa.rst.rststb	0.5922	0.4	0.0	0.2667	0.4797	0.5
por.rst.cstn	spa.rst.sctb	0.5922	0.4	0.0	0.2667	0.4797	0.5
por.rst.cstn	tur.pdtb.tdb	0.5922	0.69	0.2	1.0	0.4672	0.6
por.rst.cstn	zho.rst.sctb	0.0002	0.61	1.0	1.0	0.6328	0.6
rus.rst.rrt	deu.rst.pcc	0.3333	0.42	0.2	0.8571	0.5184	0.5
rus.rst.rrt	eng.pdtb.pdtb	0.2804	0.49	0.2	0.9	0.5594	0.5
rus.rst.rrt	eng.rst.gum	0.2804	0.49	0.2	0.9	0.5594	0.5
rus.rst.rrt	eng.rst.rstdt	0.2804	0.49	0.2	0.9	0.5594	0.5
rus.rst.rrt	eng.sdrt.stac	0.2804	0.49	0.2	0.9	0.5594	0.5
rus.rst.rrt	fas.rst.prstc	0.6162	0.85	0.7	1.0	0.627	0.7
rus.rst.rrt	fra.sdrt.annodis	0.3333	0.51	0.2	0.9375	0.5152	0.5
rus.rst.rrt	nld.rst.nldt	0.6162	0.57	0.2	0.8	0.5297	0.6
rus.rst.rrt	por.rst.cstn	0.6162	0.5	0.3	0.9333	0.47	0.5
rus.rst.rrt	rus.rst.rrt	0.0	0.0	0.0	0.0	0.0002	0.0
rus.rst.rrt	spa.rst.rststb	0.3613	0.45	0.3	0.8	0.5273	0.5
rus.rst.rrt	spa.rst.sctb	0.3613	0.45	0.3	0.8	0.5273	0.5
rus.rst.rrt	tur.pdtb.tdb	0.2048	0.63	0.2	1.0	0.5124	0.5
rus.rst.rrt	zho.rst.sctb	0.6162	0.57	1.0	1.0	0.688	0.6
spa.rst.rststb	deu.rst.pcc	0.4788	0.5	0.1	0.8571	0.6393	0.6
spa.rst.rststb	eng.pdtb.pdtb	0.3433	0.4	0.1	0.9	0.5481	0.5
spa.rst.rststb	eng.rst.gum	0.3433	0.4	0.1	0.9	0.5481	0.5
spa.rst.rststb	eng.rst.rstdt	0.3433	0.4	0.1	0.9	0.5481	0.5
spa.rst.rststb	eng.sdrt.stac	0.3433	0.4	0.1	0.9	0.5481	0.5
spa.rst.rststb	fas.rst.prstc	0.5922	0.85	0.5	1.0	0.5013	0.7
spa.rst.rststb	fra.sdrt.annodis	0.4788	0.41	0.0	0.4375	0.5804	0.5
spa.rst.rststb	nld.rst.nldt	0.5922	0.58	0.1	0.9231	0.557	0.6
spa.rst.rststb	por.rst.cstn	0.5922	0.4	0.0	0.2667	0.4797	0.5
spa.rst.rststb	rus.rst.rrt	0.3613	0.45	0.3	0.8	0.5273	0.5
spa.rst.rststb	spa.rst.rststb	0.0	0.0	0.0	0.0	0.0	0.0
spa.rst.rststb	spa.rst.sctb	0.0	0.0	0.0	0.0	0.0	0.0
spa.rst.rststb	tur.pdtb.tdb	0.4097	0.65	0.1	1.0	0.5608	0.6
spa.rst.rststb	zho.rst.sctb	0.5922	0.56	1.0	1.0	0.6832	0.6
spa.rst.sctb	deu.rst.pcc	0.4788	0.5	0.1	0.8571	0.6393	0.6
spa.rst.sctb	eng.pdtb.pdtb	0.3433	0.4	0.1	0.9	0.5481	0.5
spa.rst.sctb	eng.rst.gum	0.3433	0.4	0.1	0.9	0.5481	0.5
spa.rst.sctb	eng.rst.rstdt	0.3433	0.4	0.1	0.9	0.5481	0.5
spa.rst.sctb	eng.sdrt.stac	0.3433	0.4	0.1	0.9	0.5481	0.5
spa.rst.sctb	fas.rst.prstc	0.5922	0.85	0.5	1.0	0.5013	0.7
spa.rst.sctb	fra.sdrt.annodis	0.4788	0.41	0.0	0.4375	0.5804	0.5
spa.rst.sctb	nld.rst.nldt	0.5922	0.58	0.1	0.9231	0.557	0.6
spa.rst.sctb	por.rst.cstn	0.5922	0.4	0.0	0.2667	0.4797	0.5
spa.rst.sctb	rus.rst.rrt	0.3613	0.45	0.3	0.8	0.5273	0.5
spa.rst.sctb	spa.rst.rststb	0.0	0.0	0.0	0.0	0.0	0.0
spa.rst.sctb	spa.rst.sctb	0.0	0.0	0.0	0.0	0.0	0.0
spa.rst.sctb	tur.pdtb.tdb	0.4097	0.65	0.1	1.0	0.5608	0.6
spa.rst.sctb	zho.rst.sctb	0.5922	0.56	1.0	1.0	0.6832	0.6
tur.pdtb.tdb	deu.rst.pcc	0.2677	0.64	0.1	1.0	0.418	0.5
tur.pdtb.tdb	eng.pdtb.pdtb	0.3433	0.7	0.1	1.0	0.5183	0.6
tur.pdtb.tdb	eng.rst.gum	0.3433	0.7	0.1	1.0	0.5183	0.6
tur.pdtb.tdb	eng.rst.rstdt	0.3433	0.7	0.1	1.0	0.5183	0.6
tur.pdtb.tdb	eng.sdrt.stac	0.3433	0.7	0.1	1.0	0.5183	0.6
tur.pdtb.tdb	fas.rst.prstc	0.5922	0.8	0.6	1.0	0.5913	0.7
tur.pdtb.tdb	fra.sdrt.annodis	0.2677	0.68	0.1	1.0	0.4955	0.6
tur.pdtb.tdb	nld.rst.nldt	0.5922	0.71	0.1	1.0	0.4527	0.6
tur.pdtb.tdb	por.rst.cstn	0.5922	0.69	0.2	1.0	0.4672	0.6
tur.pdtb.tdb	rus.rst.rrt	0.2048	0.63	0.2	1.0	0.5124	0.5
tur.pdtb.tdb	spa.rst.rststb	0.4097	0.65	0.1	1.0	0.5608	0.6
tur.pdtb.tdb	spa.rst.sctb	0.4097	0.65	0.1	1.0	0.5608	0.6
tur.pdtb.tdb	tur.pdtb.tdb	0.0	0.0	0.0	0.0	0.0	0.0
tur.pdtb.tdb	zho.rst.sctb	0.5922	0.55	1.0	1.0	0.6196	0.6
zho.rst.sctb	deu.rst.pcc	0.5456	0.58	1.0	1.0	0.6153	0.6
zho.rst.sctb	eng.pdtb.pdtb	0.5687	0.57	1.0	1.0	0.5983	0.6
zho.rst.sctb	eng.rst.gum	0.5687	0.57	1.0	1.0	0.5983	0.6
zho.rst.sctb	eng.rst.rstdt	0.5687	0.57	1.0	1.0	0.5983	0.6
zho.rst.sctb	eng.sdrt.stac	0.5687	0.57	1.0	1.0	0.5983	0.6
zho.rst.sctb	fas.rst.prstc	0.0002	0.87	1.0	1.0	0.7287	0.8
zho.rst.sctb	fra.sdrt.annodis	0.5456	0.57	1.0	1.0	0.6025	0.6
zho.rst.sctb	nld.rst.nldt	0.0002	0.63	1.0	1.0	0.6068	0.6
zho.rst.sctb	por.rst.cstn	0.0002	0.61	1.0	1.0	0.6328	0.6
zho.rst.sctb	rus.rst.rrt	0.6162	0.57	1.0	1.0	0.688	0.6
zho.rst.sctb	spa.rst.rststb	0.5922	0.56	1.0	1.0	0.6832	0.6
zho.rst.sctb	spa.rst.sctb	0.5922	0.56	1.0	1.0	0.6832	0.6
zho.rst.sctb	tur.pdtb.tdb	0.5922	0.55	1.0	1.0	0.6196	0.6
zho.rst.sctb	zho.rst.sctb	0.0002	0.0	0.0	0.0	0.0	0.0
