
dataset1	dataset2	genre_overlap	formality_overlap	genreoverlap_news	genreoverlap_political	genreoverlap_science	genreoverlap_academic	genreoverlap_fiction	genreoverlap_chats
eng.rst.gum	por.rst.cstn	1.0	1.0	7.706699	0.0	0.0	0.0	0.0	0.0
eng.rst.gum	rus.rst.rrt	1.0	1.0	7.706699	0.0	13.204289	19.953947	0.0	0.0
eng.rst.gum	spa.rst.rststb	1.0	1.0	0.0	0.0	13.204289	19.953947	0.0	0.0
eng.rst.gum	spa.rst.sctb	1.0	2.0	7.706699	8.428246	13.204289	19.953947	0.0	0.0
eng.rst.gum	tur.pdtb.tdb	1.0	1.0	7.706699	0.0	0.0	19.953947	12.592646	0.0
eng.rst.gum	zho.rst.sctb	1.0	2.0	7.706699	8.428246	13.204289	19.953947	0.0	0.0
eng.rst.rstdt	deu.rst.pcc	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	eng.pdtb.pdtb	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	eng.rst.gum	1.0	1.0	7.706699	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	eng.rst.rstdt	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	eng.sdrt.stac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	fas.rst.prstc	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	fra.sdrt.annodis	1.0	2.0	39.633867	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	nld.rst.nldt	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	por.rst.cstn	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	rus.rst.rrt	1.0	2.0	33.817917	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	spa.rst.rststb	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	spa.rst.sctb	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	tur.pdtb.tdb	0.0	2.0	33.33	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	zho.rst.sctb	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
eng.sdrt.stac	deu.rst.pcc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.sdrt.stac	eng.pdtb.pdtb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.sdrt.stac	eng.rst.gum	1.0	1.0	0.0	0.0	0.0	0.0	0.0	33.266173
eng.sdrt.stac	eng.rst.rstdt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.sdrt.stac	eng.sdrt.stac	2.0	2.0	0.0	0.0	0.0	0.0	0.0	100
eng.sdrt.stac	fas.rst.prstc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.sdrt.stac	fra.sdrt.annodis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.sdrt.stac	nld.rst.nldt	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.sdrt.stac	por.rst.cstn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.sdrt.stac	rus.rst.rrt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.sdrt.stac	spa.rst.rststb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.sdrt.stac	spa.rst.sctb	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.sdrt.stac	tur.pdtb.tdb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.sdrt.stac	zho.rst.sctb	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
fas.rst.prstc	deu.rst.pcc	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
fas.rst.prstc	eng.pdtb.pdtb	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
fas.rst.prstc	eng.rst.gum	1.0	1.0	7.706699	0.0	0.0	0.0	0.0	0.0
fas.rst.prstc	eng.rst.rstdt	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
fas.rst.prstc	eng.sdrt.stac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fas.rst.prstc	fas.rst.prstc	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
fas.rst.prstc	fra.sdrt.annodis	1.0	2.0	39.633867	0.0	0.0	0.0	0.0	0.0
fas.rst.prstc	nld.rst.nldt	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
fas.rst.prstc	por.rst.cstn	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
fas.rst.prstc	rus.rst.rrt	1.0	2.0	33.817917	0.0	0.0	0.0	0.0	0.0
fas.rst.prstc	spa.rst.rststb	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
fas.rst.prstc	spa.rst.sctb	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
fas.rst.prstc	tur.pdtb.tdb	0.0	2.0	33.33	0.0	0.0	0.0	0.0	0.0
fas.rst.prstc	zho.rst.sctb	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
fra.sdrt.annodis	deu.rst.pcc	1.0	2.0	39.633867	0.0	0.0	0.0	0.0	0.0
fra.sdrt.annodis	eng.pdtb.pdtb	1.0	2.0	39.633867	0.0	0.0	0.0	0.0	0.0
fra.sdrt.annodis	eng.rst.gum	1.0	1.0	7.706699	1.87643	0.0	19.953947	0.0	0.0
fra.sdrt.annodis	eng.rst.rstdt	1.0	2.0	39.633867	0.0	0.0	0.0	0.0	0.0
fra.sdrt.annodis	eng.sdrt.stac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fra.sdrt.annodis	fas.rst.prstc	1.0	2.0	39.633867	0.0	0.0	0.0	0.0	0.0
fra.sdrt.annodis	fra.sdrt.annodis	2.0	2.0	39.633867	1.87643	0.0	58.489703	0.0	0.0
fra.sdrt.annodis	nld.rst.nldt	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
fra.sdrt.annodis	por.rst.cstn	1.0	2.0	39.633867	0.0	0.0	0.0	0.0	0.0
fra.sdrt.annodis	rus.rst.rrt	1.0	2.0	33.817917	0.0	0.0	37.492193	0.0	0.0
fra.sdrt.annodis	spa.rst.rststb	1.0	2.0	0.0	0.0	0.0	22.544643	0.0	0.0
fra.sdrt.annodis	spa.rst.sctb	1.0	1.0	9.339408	1.87643	0.0	27.107062	0.0	0.0
fra.sdrt.annodis	tur.pdtb.tdb	0.0	2.0	33.33	0.0	0.0	33.33	0.0	0.0
fra.sdrt.annodis	zho.rst.sctb	1.0	1.0	9.339408	1.87643	0.0	27.107062	0.0	0.0
nld.rst.nldt	deu.rst.pcc	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
nld.rst.nldt	eng.pdtb.pdtb	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
nld.rst.nldt	eng.rst.gum	1.0	2.0	0.0	0.0	13.204289	0.0	0.0	0.0
nld.rst.nldt	eng.rst.rstdt	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
nld.rst.nldt	eng.sdrt.stac	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
nld.rst.nldt	fas.rst.prstc	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
nld.rst.nldt	fra.sdrt.annodis	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
nld.rst.nldt	nld.rst.nldt	2.0	2.0	0.0	0.0	50.808458	0.0	0.0	0.0
nld.rst.nldt	por.rst.cstn	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
nld.rst.nldt	rus.rst.rrt	1.0	1.0	0.0	0.0	28.68989	0.0	0.0	0.0
nld.rst.nldt	spa.rst.rststb	1.0	1.0	0.0	0.0	50.808458	0.0	0.0	0.0
nld.rst.nldt	spa.rst.sctb	1.0	2.0	0.0	0.0	50.808458	0.0	0.0	0.0
nld.rst.nldt	tur.pdtb.tdb	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
nld.rst.nldt	zho.rst.sctb	1.0	2.0	0.0	0.0	50.808458	0.0	0.0	0.0
por.rst.cstn	deu.rst.pcc	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
por.rst.cstn	eng.pdtb.pdtb	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
por.rst.cstn	eng.rst.gum	1.0	1.0	7.706699	0.0	0.0	0.0	0.0	0.0
por.rst.cstn	eng.rst.rstdt	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
por.rst.cstn	eng.sdrt.stac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
por.rst.cstn	fas.rst.prstc	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
por.rst.cstn	fra.sdrt.annodis	1.0	2.0	39.633867	0.0	0.0	0.0	0.0	0.0
por.rst.cstn	nld.rst.nldt	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
por.rst.cstn	por.rst.cstn	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
por.rst.cstn	rus.rst.rrt	1.0	2.0	33.817917	0.0	0.0	0.0	0.0	0.0
por.rst.cstn	spa.rst.rststb	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
por.rst.cstn	spa.rst.sctb	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
por.rst.cstn	tur.pdtb.tdb	0.0	2.0	33.33	0.0	0.0	0.0	0.0	0.0
por.rst.cstn	zho.rst.sctb	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
rus.rst.rrt	deu.rst.pcc	1.0	2.0	33.817917	0.0	0.0	0.0	0.0	0.0
rus.rst.rrt	eng.pdtb.pdtb	1.0	2.0	33.817917	0.0	0.0	0.0	0.0	0.0
rus.rst.rrt	eng.rst.gum	1.0	1.0	7.706699	0.0	13.204289	19.953947	0.0	0.0
rus.rst.rrt	eng.rst.rstdt	1.0	2.0	33.817917	0.0	0.0	0.0	0.0	0.0
rus.rst.rrt	eng.sdrt.stac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rus.rst.rrt	fas.rst.prstc	1.0	2.0	33.817917	0.0	0.0	0.0	0.0	0.0
rus.rst.rrt	fra.sdrt.annodis	1.0	2.0	33.817917	0.0	0.0	37.492193	0.0	0.0
rus.rst.rrt	nld.rst.nldt	1.0	1.0	0.0	0.0	28.68989	0.0	0.0	0.0
rus.rst.rrt	por.rst.cstn	1.0	2.0	33.817917	0.0	0.0	0.0	0.0	0.0
rus.rst.rrt	rus.rst.rrt	2.0	2.0	33.817917	0.0	28.68989	37.492193	0.0	0.0
rus.rst.rrt	spa.rst.rststb	1.0	2.0	0.0	0.0	28.68989	22.544643	0.0	0.0
rus.rst.rrt	spa.rst.sctb	1.0	1.0	9.339408	0.0	28.68989	27.107062	0.0	0.0
rus.rst.rrt	tur.pdtb.tdb	0.0	2.0	33.33	0.0	0.0	33.33	0.0	0.0
rus.rst.rrt	zho.rst.sctb	1.0	1.0	9.339408	0.0	28.68989	27.107062	0.0	0.0
spa.rst.rststb	deu.rst.pcc	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
spa.rst.rststb	eng.pdtb.pdtb	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
spa.rst.rststb	eng.rst.gum	1.0	1.0	0.0	0.0	13.204289	19.953947	0.0	0.0
spa.rst.rststb	eng.rst.rstdt	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
spa.rst.rststb	eng.sdrt.stac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
spa.rst.rststb	fas.rst.prstc	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
spa.rst.rststb	fra.sdrt.annodis	1.0	2.0	0.0	0.0	0.0	22.544643	0.0	0.0
spa.rst.rststb	nld.rst.nldt	1.0	1.0	0.0	0.0	50.808458	0.0	0.0	0.0
spa.rst.rststb	por.rst.cstn	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
spa.rst.rststb	rus.rst.rrt	1.0	2.0	0.0	0.0	28.68989	22.544643	0.0	0.0
spa.rst.rststb	spa.rst.rststb	2.0	2.0	0.0	0.0	77.455357	22.544643	0.0	0.0
spa.rst.rststb	spa.rst.sctb	1.0	1.0	0.0	0.0	55.125285	22.544643	0.0	0.0
spa.rst.rststb	tur.pdtb.tdb	0.0	2.0	0.0	0.0	0.0	22.544643	0.0	0.0
spa.rst.rststb	zho.rst.sctb	1.0	1.0	0.0	0.0	55.125285	22.544643	0.0	0.0
spa.rst.sctb	deu.rst.pcc	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
spa.rst.sctb	eng.pdtb.pdtb	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
spa.rst.sctb	eng.rst.gum	1.0	2.0	7.706699	8.428246	13.204289	19.953947	0.0	0.0
spa.rst.sctb	eng.rst.rstdt	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
spa.rst.sctb	eng.sdrt.stac	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
spa.rst.sctb	fas.rst.prstc	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
spa.rst.sctb	fra.sdrt.annodis	1.0	1.0	9.339408	1.87643	0.0	27.107062	0.0	0.0
spa.rst.sctb	nld.rst.nldt	1.0	2.0	0.0	0.0	50.808458	0.0	0.0	0.0
spa.rst.sctb	por.rst.cstn	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
spa.rst.sctb	rus.rst.rrt	1.0	1.0	9.339408	0.0	28.68989	27.107062	0.0	0.0
spa.rst.sctb	spa.rst.rststb	1.0	1.0	0.0	0.0	55.125285	22.544643	0.0	0.0
spa.rst.sctb	spa.rst.sctb	2.0	2.0	9.339408	8.428246	55.125285	27.107062	0.0	0.0
spa.rst.sctb	tur.pdtb.tdb	0.0	1.0	9.339408	0.0	0.0	27.107062	0.0	0.0
spa.rst.sctb	zho.rst.sctb	2.0	2.0	9.339408	8.428246	55.125285	27.107062	0.0	0.0
tur.pdtb.tdb	deu.rst.pcc	0.0	2.0	33.33	0.0	0.0	0.0	0.0	0.0
tur.pdtb.tdb	eng.pdtb.pdtb	0.0	2.0	33.33	0.0	0.0	0.0	0.0	0.0
tur.pdtb.tdb	eng.rst.gum	1.0	1.0	7.706699	0.0	0.0	19.953947	12.592646	0.0
tur.pdtb.tdb	eng.rst.rstdt	0.0	2.0	33.33	0.0	0.0	0.0	0.0	0.0
tur.pdtb.tdb	eng.sdrt.stac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tur.pdtb.tdb	fas.rst.prstc	0.0	2.0	33.33	0.0	0.0	0.0	0.0	0.0
tur.pdtb.tdb	fra.sdrt.annodis	0.0	2.0	33.33	0.0	0.0	33.33	0.0	0.0
tur.pdtb.tdb	nld.rst.nldt	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
tur.pdtb.tdb	por.rst.cstn	0.0	2.0	33.33	0.0	0.0	0.0	0.0	0.0
tur.pdtb.tdb	rus.rst.rrt	0.0	2.0	33.33	0.0	0.0	33.33	0.0	0.0
tur.pdtb.tdb	spa.rst.rststb	0.0	2.0	0.0	0.0	0.0	22.544643	0.0	0.0
tur.pdtb.tdb	spa.rst.sctb	0.0	1.0	9.339408	0.0	0.0	27.107062	0.0	0.0
tur.pdtb.tdb	tur.pdtb.tdb	2.0	2.0	33.33	0.0	0.0	33.33	33.33	0.0
tur.pdtb.tdb	zho.rst.sctb	0.0	1.0	9.339408	0.0	0.0	27.107062	0.0	0.0
zho.rst.sctb	deu.rst.pcc	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
zho.rst.sctb	eng.pdtb.pdtb	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
zho.rst.sctb	eng.rst.gum	1.0	2.0	7.706699	8.428246	13.204289	19.953947	0.0	0.0
zho.rst.sctb	eng.rst.rstdt	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
zho.rst.sctb	eng.sdrt.stac	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
zho.rst.sctb	fas.rst.prstc	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
zho.rst.sctb	fra.sdrt.annodis	1.0	1.0	9.339408	1.87643	0.0	27.107062	0.0	0.0
zho.rst.sctb	nld.rst.nldt	1.0	2.0	0.0	0.0	50.808458	0.0	0.0	0.0
zho.rst.sctb	por.rst.cstn	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
zho.rst.sctb	rus.rst.rrt	1.0	1.0	9.339408	0.0	28.68989	27.107062	0.0	0.0
zho.rst.sctb	spa.rst.rststb	1.0	1.0	0.0	0.0	55.125285	22.544643	0.0	0.0
zho.rst.sctb	spa.rst.sctb	2.0	2.0	9.339408	8.428246	55.125285	27.107062	0.0	0.0
zho.rst.sctb	tur.pdtb.tdb	0.0	1.0	9.339408	0.0	0.0	27.107062	0.0	0.0
zho.rst.sctb	zho.rst.sctb	2.0	2.0	9.339408	8.428246	55.125285	27.107062	0.0	0.0
